# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
ji ti a 	集体啊	c=1 d=1 t=40904
ji tian 	几天	c=9 d=1.61644 t=41002
ji tian nei 	几天内	c=1 d=1 t=13
ji tuan 	集团	c=1 d=1 t=8610
ji wan 	几万	c=1 d=1 t=12867
ji wan kuai qian 	几万块钱	c=1 d=1 t=24173
ji wan tiao 	几万条	c=1 d=1 t=39925
ji xia 	几下	c=1 d=1 t=18926
ji xian 	极限	c=1 d=1 t=26727
ji xiang 	机箱	c=16 d=3.0731 t=38428
ji xiao 	技校	c=1 d=1 t=3679
ji xie 	机械	c=4 d=2.16536 t=34109
ji xu 	急须	c=1 d=1 t=27514
ji xu 	继续	c=6 d=1 t=38161
ji yi 	记忆	c=2 d=1 t=20294
ji yi xia 	记一下	c=1 d=1 t=18467
ji yu 	基于	c=5 d=1 t=30785
ji yue 	几月	c=2 d=1 t=30940
ji zhang 	几张	c=1 d=1 t=7477
ji zhang 	记账	c=1 d=1 t=7478
ji zhe 	记者	c=1 d=1 t=9906
ji zhen 	急诊	c=1 d=1 t=4796
ji zhi 	机制	c=6 d=2.00272 t=39964
jia 	假	c=2 d=1 t=41108
jia 	加	c=31 d=1.95123 t=40577
jia 	夹	c=1 d=1 t=41259
jia 	家	c=29 d=1.24742 t=41485
jia 	架	c=1 d=1 t=21450
jia ban 	加班	c=1 d=1 t=31959
jia dao 	加到	c=1 d=1 t=29300
jia de 	假的	c=1 d=1 t=19192
jia de ba 	假的吧	c=1 d=1 t=969
jia fang 	甲方	c=2 d=1.80252 t=4002
jia ge 	价格	c=14 d=1 t=41408
jia ge 	加个	c=2 d=1 t=26440
jia ge ji 	加个急	c=1 d=1 t=7308
jia gou 	架构	c=3 d=1.00003 t=28974
jia guo 	加过	c=1 d=1 t=19874
jia ji 	加急	c=1 d=1 t=6722
jia ju 	家具	c=5 d=1 t=40708
jia ke 	夹克	c=1 d=1 t=10762
jia le 	加了	c=4 d=1.00001 t=20444
jia li 	家里	c=13 d=1.01222 t=41747
jia li ren 	家里人	c=1 d=1 t=25294
jia meng 	加盟	c=4 d=1.956 t=11954
jia meng shang 	加盟商	c=1 d=1 t=23227
jia qiang zhen 	加强针	c=1 d=1 t=17357
jia ren 	家人	c=1 d=1 t=14874
jia ru 	加入	c=7 d=1.56138 t=15948
jia shang 	加上	c=8 d=1 t=39920
jia shang qu 	加上去	c=1 d=1 t=18085
jia shu lou 	家属楼	c=2 d=1.94649 t=11709
jia shui yin 	加水印	c=1 d=1 t=30877
jia ting 	家庭	c=1 d=1 t=8982
jia wei hui 	家委会	c=6 d=2.93846 t=3471
jia wu 	家务	c=2 d=1.61263 t=11931
jia yong 	家用	c=2 d=1 t=33521
jia yong ji suan ji 	家用计算机	c=1 d=1 t=9900
jia zai 	加载	c=1 d=1 t=31482
jia zhang 	家长	c=3 d=2.18846 t=3507
jia zhang hui 	家长会	c=2 d=1.66698 t=3487
jia zhi 	价值	c=2 d=1 t=27714
jia zhi guan 	价值观	c=1 d=1 t=32030
jia zu 	家族	c=1 d=1 t=30297
jian 	件	c=0 d=0.1 t=4862
jian 	剪	c=1 d=1 t=16579
jian 	建	c=3 d=1.30728 t=36279
jian 	肩	c=1 d=1 t=18924
jian 	见	c=4 d=1.06051 t=33928
jian ce 	检测	c=6 d=1 t=24317
jian cha 	检查	c=8 d=1.0002 t=34972
jian cha shen ti 	检查身体	c=1 d=1 t=9625
jian cheng 	建成	c=1 d=1 t=30998
jian dan 	简单	c=14 d=1 t=41865
jian fei 	减肥	c=2 d=1 t=10794
jian ge 	间隔	c=1 d=1 t=29407
jian ge mian 	见个面	c=1 d=1 t=10473
jian guo 	见过	c=1 d=1 t=28687
jian ju 	间距	c=1 d=1 t=41886
jian kang 	健康	c=1 d=1 t=27569
jian kang bao 	健康宝	c=1 d=1 t=8848
jian kong 	监控	c=7 d=1.9802 t=41603
jian li 	建立	c=2 d=1 t=17873
jian li 	简历	c=2 d=1 t=17874
jian mian hui 	见面会	c=1 d=1 t=2061
jian mo 	建模	c=1 d=1 t=37987
jian quan 	鉴权	c=5 d=2.57595 t=16039
jian rong 	兼容	c=2 d=1 t=34122
jian shang 	奸商	c=1 d=1 t=38317
jian shao 	减少	c=1 d=1 t=3076
jian she xing 	建设性	c=1 d=1 t=2564
jian shen 	健身	c=4 d=1 t=41249
jian shen de 	健身的	c=1 d=1 t=30670
jian tao 	检讨	c=1 d=1 t=22709
jian wo 	见我	c=1 d=1 t=10511
jian xin 	坚信	c=1 d=1 t=25445
jian yan 	检验	c=2 d=1 t=22510
jian yue 	简约	c=2 d=1.956 t=20988
jian zhan 	建站	c=3 d=2.30987 t=13155
jian zhi 	简直	c=1 d=1 t=3544
jian zhu shi 	建筑师	c=2 d=1.93239 t=19120
jiang 	将	c=6 d=1 t=29696
jiang 	讲	c=4 d=1 t=39083
jiang de 	讲的	c=2 d=1 t=30080
jiang de 	降得	c=1 d=1 t=27313
jiang guo 	讲过	c=1 d=1 t=27581
jiang ji 	降级	c=2 d=1 t=15543
jiang jia 	降价	c=3 d=1 t=38888
jiang jie 	讲解	c=1 d=1 t=31433
jiang jin 	奖金	c=1 d=1 t=31977
jiang ke 	讲课	c=1 d=1 t=3269
jiang li 	奖励	c=1 d=1 t=39524
jiao 	交	c=6 d=1 t=41452
jiao 	叫	c=39 d=1.00166 t=36563
jiao ben 	脚本	c=20 d=1.01734 t=34628
jiao bu qi 	交不起	c=1 d=1 t=1316
jiao cheng 	教程	c=2 d=1 t=16557
jiao du 	角度	c=1 d=1 t=7169
jiao fei 	缴费	c=1 d=1 t=23567
jiao fu 	交付	c=2 d=1 t=14186
jiao ge 	交个	c=1 d=1 t=11454
jiao ge 	交割	c=1 d=1 t=39418
jiao hang 	交行	c=4 d=2.24471 t=5841
jiao huan 	交换	c=1 d=1 t=19710
jiao huan 	叫唤	c=1 d=1 t=19711
jiao huan ji 	交换机	c=15 d=1.50107 t=24374
jiao jie 	交接	c=2 d=1.0216 t=39404
jiao jin 	较劲	c=1 d=1 t=5130
jiao ke 	教课	c=1 d=1 t=3267
jiao le 	交了	c=2 d=1.99501 t=1321
jiao luo 	角落	c=1 d=1 t=13205
jiao ni 	教你	c=1 d=1 t=612
jiao qian 	交钱	c=1 d=1 t=3429
jiao shen me 	叫什么	c=2 d=1 t=36878
jiao ting 	叫停	c=1 d=1 t=31981
jiao tong 	交通	c=3 d=1 t=13903
jiao wo 	叫我	c=1 d=1 t=27787
jiao wo ba 	叫我爸	c=1 d=1 t=14309
jiao xue 	教学	c=1 d=1 t=33515
jiao yi 	交易	c=1 d=1 t=40205
jiao yi suo 	交易所	c=4 d=1 t=26847
jiao yu 	教育	c=4 d=1.85903 t=36750
jie 	借	c=1 d=1 t=6773
jie 	姐	c=23 d=1 t=40423
jie 	接	c=19 d=1 t=30644
jie an te 	捷安特	c=1 d=1 t=30336
jie cheng 	阶乘	c=1 d=1 t=10890
jie chu 	接触	c=1 d=1 t=32203
jie da 	解答	c=1 d=1 t=18617
jie dai 	接待	c=1 d=1 t=18196
jie dian 	节点	c=5 d=1 t=29662
jie duan 	阶段	c=2 d=1 t=39191
jie ge 	接个	c=2 d=1.00554 t=22522
jie ge tu 	截个图	c=3 d=1 t=26244
jie gou 	结构	c=3 d=1 t=16450
jie gu yan 	节骨眼	c=1 d=1 t=1891
jie guo 	接过	c=1 d=1 t=16834
jie guo 	结果	c=23 d=1.77105 t=35494
jie hai zi 	接孩子	c=1 d=1 t=3562
jie he 	结合	c=3 d=1.86502 t=39350
jie hui lai 	接回来	c=1 d=1 t=33014
jie hun 	结婚	c=3 d=1 t=30216
jie huo 	接活	c=1 d=1 t=19102
jie jian 	借鉴	c=3 d=1 t=34513
jie jiu 	戒酒	c=2 d=1 t=27640
jie jiu 	解酒	c=2 d=1 t=27637
jie ju 	结局	c=3 d=1.88692 t=25429
jie jue 	解决	c=9 d=1 t=39333
jie kou 	接口	c=30 d=1.00005 t=38460
jie la 	戒啦	c=1 d=1 t=8
jie le 	接了	c=1 d=1 t=4571
jie meng 	解梦	c=1 d=1 t=7992
jie mian 	界面	c=2 d=1 t=38962
jie mu 	节目	c=3 d=1 t=35561
jie pai 	街拍	c=3 d=1.65678 t=40981
jie qian 	节前	c=1 d=1 t=7290
jie ru 	接入	c=1 d=1 t=7748
jie san 	解散	c=1 d=1 t=1219
jie shang 	接上	c=1 d=1 t=31819
jie shao 	介绍	c=4 d=1 t=35743
jie sheng 	节省	c=1 d=1 t=13461
jie shi 	解释	c=8 d=1.95473 t=35399
jie shu 	结束	c=1 d=1 t=31396
jie su 	借宿	c=0 d=0.1 t=19808
jie su a 	借宿啊	c=1 d=1 t=19809
jie suan 	结算	c=56 d=1 t=40533
jie suan xi tong 	结算系统	c=1 d=1 t=32459
jie suo 	解锁	c=4 d=2.89786 t=29536
jie ta 	接他	c=1 d=1 t=25632
jie tou 	街头	c=1 d=1 t=10766
jie tu 	截图	c=14 d=1 t=39720
jie wan 	接完	c=0 d=0.1 t=13504
jie wan le 	接完了	c=1 d=1 t=11030
jie wan ta 	接完他	c=1 d=1 t=13505
jie wei 	结尾	c=5 d=3.04529 t=17717
jie wo 	借我	c=1 d=1 t=38314
jie wo 	接我	c=1 d=1 t=38313
jie xi 	解析	c=2 d=1.99005 t=35955
jie xuan 	节选	c=1 d=1 t=12501
jie yao 	解药	c=1 d=1 t=9599
jie zhe 	借着	c=1 d=1 t=22871
jie zhe 	接着	c=1 d=1 t=18795
jie zhi 	截止	c=1 d=1 t=35620
jin 	斤	c=1 d=1 t=20262
jin 	紧	c=2 d=1.98511 t=26749
jin 	近	c=3 d=1.00004 t=38156
jin 	进	c=11 d=1.00004 t=18122
jin 	金	c=2 d=1 t=41131
jin bu 	进步	c=1 d=1 t=29098
jin bu qu 	进不去	c=2 d=1 t=29364
jin cheng 	进程	c=5 d=2.93626 t=8996
jin dao 	进到	c=1 d=1 t=28872
jin du 	进度	c=13 d=1 t=24685
jin e 	金额	c=2 d=1.00002 t=40154
jin hou 	今后	c=1 d=1 t=6324
jin hua 	进化	c=1 d=1 t=12468
jin huo 	进货	c=1 d=1 t=13264
jin jie zhe 	紧接着	c=1 d=1 t=39981
jin jin 	仅仅	c=1 d=1 t=2719
jin jin shi 	仅仅是	c=1 d=1 t=7122
jin kou 	进口	c=4 d=1.96561 t=32840
jin lai 	进来	c=8 d=1 t=38966
jin le 	进了	c=1 d=1 t=17810
jin liang 	尽量	c=1 d=1 t=32995
jin lu 	金露	c=5 d=1.00001 t=22931
jin ma 	金马	c=1 d=1 t=36145
jin me 	近么	c=1 d=1 t=30228
jin men 	进门	c=1 d=1 t=9589
jin nian 	今年	c=13 d=1 t=41068
jin qiu shu 	进球数	c=1 d=1 t=24461
jin qu 	进去	c=14 d=1.00001 t=41401
jin qu le 	进去了	c=1 d=1 t=17827
jin ri 	今日	c=1 d=1 t=33129
jin ru 	进入	c=6 d=1 t=19235
jin shan 	金山	c=3 d=1 t=38227
jin shan yun 	金山云	c=2 d=1 t=38222
jin tian 	今天	c=70 d=1.09233 t=42056
jin xing 	进行	c=29 d=5.07772 t=33425
jin xing zhong 	进行中	c=3 d=1 t=39814
jin yin dao 	金银岛	c=2 d=1.9802 t=5395
jin yong yu 	仅用于	c=2 d=1 t=37824
jin zhan 	进展	c=3 d=2.97516 t=17140
jin zhang 	紧张	c=1 d=1 t=28107
jin zhe 	紧着	c=1 d=1 t=5156
jin zhi 	仅指	c=1 d=1 t=4517
jin zhi 	禁止	c=4 d=2.92654 t=8995
jing 	京	c=6 d=1 t=16591
jing 	惊	c=1 d=1 t=29532
jing chang 	经常	c=6 d=1 t=31205
jing dian 	经典	c=2 d=1 t=28094
jing dong 	京东	c=12 d=1.00006 t=36515
jing dong fang 	京东方	c=1 d=1 t=31800
jing fang 	警方	c=1 d=1 t=27939
jing guo 	经过	c=1 d=1 t=2874
jing ji 	经济	c=1 d=1 t=28215
jing le 	惊了	c=1 d=1 t=7202
jing li 	精力	c=2 d=1 t=41263
jing li 	经历	c=1 d=1 t=11569
jing li 	经理	c=1 d=1 t=14400
jing mi 	精密	c=1 d=1 t=21739
jing pin 	竞品	c=1 d=1 t=7901
jing ran 	竟然	c=2 d=1.79057 t=38485
jing shen 	精神	c=3 d=2.94092 t=3860
jing shen bing ren 	精神病人	c=1 d=1 t=2076
jing shen tou 	精神头	c=1 d=1 t=33165
jing tai 	静态	c=4 d=1 t=33052
jing xi 	惊喜	c=1 d=1 t=20972
jing xiang 	镜像	c=2 d=1 t=25962
jing yan 	惊艳	c=2 d=1 t=28018
jing yan 	经验	c=2 d=1 t=17006
jing zheng 	竞争	c=1 d=1 t=30772
jiu 	久	c=3 d=1 t=37181
jiu 	九	c=2 d=1 t=39123
jiu 	就	c=462 d=4.18882 t=42054
jiu 	旧	c=3 d=1 t=35197
jiu 	酒	c=1 d=1 t=13290
jiu ba 	就把	c=2 d=1 t=14043
jiu bu guo qu 	就不过去	c=1 d=1 t=10784
jiu cha 	就差	c=1 d=1 t=30236
jiu cha 	就查	c=3 d=1 t=25089
jiu cheng 	就成	c=11 d=1.07596 t=22551
jiu cheng jiu 	九成九	c=1 d=1 t=16393
jiu dao le 	就到了	c=1 d=1 t=22509
jiu dian 	九点	c=1 d=1 t=18824
jiu dian 	酒店	c=1 d=1 t=13355
jiu gei 	就给	c=2 d=1 t=27724
jiu gen 	就跟	c=4 d=1 t=36514
jiu gou 	就够	c=2 d=1.00004 t=24125
jiu gou le 	就够了	c=1 d=1 t=24209
jiu hui 	就会	c=4 d=1.4607 t=39732
jiu jie 	纠结	c=1 d=1 t=21573
jiu jing 	酒精	c=2 d=1 t=38779
jiu jing du shu 	酒精度数	c=1 d=1 t=25768
jiu ke yi 	就可以	c=4 d=1 t=33614
jiu le 	救了	c=1 d=1 t=29152
jiu neng 	就能	c=3 d=1.00095 t=27337
jiu pa 	就怕	c=1 d=1 t=29990
jiu qu 	就去	c=2 d=1 t=5559
jiu rang 	就让	c=1 d=1 t=2791
jiu shi 	就是	c=226 d=2.71302 t=41981
jiu shi ba 	就是把	c=1 d=1 t=14016
jiu shi bu 	就是不	c=1 d=1 t=24455
jiu shi mei zuo guo 	就是没做过	c=1 d=1 t=31841
jiu shu 	旧书	c=2 d=1.86502 t=27699
jiu shuo 	就说	c=3 d=1.00007 t=12773
jiu suan 	就算	c=4 d=1 t=40526
jiu wan le 	就完了	c=2 d=1 t=20230
jiu wo 	就我	c=1 d=1 t=41671
jiu xiang 	就像	c=1 d=1 t=35128
jiu xiang 	就想	c=1 d=1 t=14633
jiu xie 	就写	c=1 d=1 t=41927
jiu xing 	就行	c=10 d=1.36972 t=41930
jiu xing 	酒醒	c=0 d=0.1 t=20399
jiu xing le 	就行了	c=1 d=1 t=34343
jiu xing le 	酒醒了	c=2 d=1 t=34342
jiu yao 	就要	c=2 d=1 t=37187
jiu ye lv 	就业率	c=2 d=1.98511 t=14586
jiu yi liang 	就一辆	c=1 d=1 t=16583
jiu you 	就有	c=3 d=1 t=13797
jiu zai 	就在	c=5 d=1.9802 t=22319
jiu zhuo 	酒桌	c=1 d=1 t=36368
ju 	剧	c=0 d=0.1 t=13202
ju a jie 	剧啊姐	c=1 d=1 t=28910
ju bao 	举报	c=1 d=1 t=30776
ju ben 	剧本	c=1 d=1 t=27922
ju da 	巨大	c=1 d=1 t=33892
ju duo 	居多	c=1 d=1 t=36305
ju ge li zi 	举个例子	c=1 d=1 t=1852
ju he 	聚合	c=3 d=1 t=41165
ju ji jing 	狙击镜	c=2 d=1.93707 t=21016
ju le 	拒了	c=1 d=1 t=33693
ju li 	距离	c=5 d=1 t=30226
ju min lou 	居民楼	c=1 d=1 t=27795
ju qing 	剧情	c=1 d=1 t=39118
ju re 	剧热	c=1 d=1 t=37740
ju shuo 	据说	c=6 d=1.47951 t=38872
ju ti 	具体	c=12 d=1 t=39607
ju wei hui 	居委会	c=2 d=1.99501 t=41753
ju xian xing 	局限性	c=1 d=1 t=18684
ju yi fan san 	举一反三	c=1 d=1 t=20993
ju yi ge 	举一个	c=1 d=1 t=2818
ju yu wang 	局域网	c=3 d=2.62548 t=22258
ju zhang 	局长	c=2 d=1.98511 t=8400
ju zhen 	矩阵	c=5 d=1 t=22336
ju zhong 	剧中	c=1 d=1 t=23738
ju zhong 	居中	c=1 d=1 t=23739
juan 	卷	c=1 d=1 t=11288
juan de 	卷的	c=1 d=1 t=12585
juan ji 	卷积	c=1 d=1 t=8293
juan jie 	娟姐	c=11 d=1.31349 t=38090
jue de 	觉得	c=47 d=1.00772 t=41162
jue dui 	绝对	c=2 d=1.95123 t=9723
jue qi 	崛起	c=1 d=1 t=23078
jue sai 	决赛	c=6 d=1.05496 t=25636
jue se 	角色	c=6 d=1 t=12567
jun yan 	军演	c=1 d=1 t=18596
ka 	卡	c=9 d=2.57078 t=41213
ka dai 	卡带	c=2 d=1 t=31554
ka fei 	卡飞	c=1 d=1 t=36599
ka fei 	咖啡	c=3 d=1 t=41219
ka fei ji 	咖啡机	c=1 d=1 t=41012
ka hao 	卡号	c=1 d=1 t=13850
ka le 	卡了	c=2 d=1.86071 t=28662
ka luo la 	卡罗拉	c=3 d=1 t=38910
ka mu 	卡姆	c=1 d=1 t=25615
ka pian 	卡片	c=1 d=1 t=13842
ka zi 	卡子	c=2 d=1 t=38903
kai 	开	c=35 d=2.34755 t=41831
kai bu liao 	开不了	c=1 d=1 t=21366
kai bu qi 	开不起	c=1 d=1 t=1327
kai che 	开车	c=11 d=1.64773 t=41718
kai chu qu 	开出去	c=1 d=1 t=5006
kai de 	开的	c=1 d=1 t=23232
kai fa 	开发	c=32 d=1.00002 t=39677
kai fa die dai 	开发迭代	c=1 d=1 t=13116
kai fa ji 	开发机	c=1 d=1 t=26303
kai fa wan 	开发完	c=1 d=1 t=24672
kai fa zhe 	开发者	c=6 d=2.94385 t=17770
kai fang 	开放	c=1 d=1 t=39366
kai fang shi 	开放式	c=1 d=1 t=27895
kai feng 	开封	c=0 d=0.1 t=29559
kai fu 	开服	c=2 d=1.60234 t=17988
kai fu lao shi 	开服老师	c=1 d=1 t=17864
kai ge 	开个	c=4 d=1 t=41743
kai ge che 	开个车	c=1 d=1 t=14087
kai ge hui 	开个会	c=1 d=1 t=33435
kai gen hao 	开根号	c=1 d=1 t=28149
kai gong 	开工	c=1 d=1 t=16324
kai gong si 	开公司	c=1 d=1 t=40936
kai guan 	开关	c=5 d=1 t=34241
kai he 	开盒	c=2 d=1 t=33738
kai hui 	开会	c=10 d=1.00966 t=39409
kai hui qu 	开回去	c=1 d=1 t=11341
kai kai guan guan 	开开关关	c=1 d=1 t=17976
kai kuo 	开阔	c=1 d=1 t=24336
kai le 	开了	c=10 d=1.0004 t=36138
kai le ge 	开了个	c=1 d=1 t=11421
kai men 	开门	c=0 d=0.1 t=13893
kai men fei 	开门费	c=1 d=1 t=13894
kai qi 	开启	c=1 d=1 t=15684
kai shi 	开始	c=21 d=1.00852 t=40329
kai tong 	开通	c=2 d=1 t=37710
kai wan xiao 	开玩笑	c=3 d=1 t=36052
kai wen 	凯文	c=1 d=1 t=38754
kai xiang zi 	开箱子	c=1 d=1 t=22796
kai xin 	开心	c=1 d=1 t=10548
kai yao 	开药	c=1 d=1 t=4822
kai ye 	开业	c=1 d=1 t=4619
kai yuan 	开源	c=17 d=1.80659 t=39514
kai yuan ban 	开源版	c=1 d=1 t=12623
kai zhe 	开着	c=1 d=1 t=3399
kan 	看	c=99 d=1.7571 t=42077
kan 	砍	c=0 d=0.1 t=30483
kan ban tian 	看半天	c=1 d=1 t=38607
kan bu chu 	看不出	c=1 d=1 t=28938
kan bu chu lai 	看不出来	c=4 d=1.00005 t=36509
kan bu dao 	看不到	c=6 d=1.00051 t=28449
kan bu guo 	看不过	c=1 d=1 t=27741
kan bu jian 	看不见	c=2 d=1 t=38727
kan bu kan 	看不看	c=1 d=1 t=2397
kan chu lai 	看出来	c=5 d=1 t=28945
kan dai 	看待	c=1 d=1 t=7927
kan dao 	看到	c=7 d=1 t=38238
kan dao le 	看到了	c=2 d=1 t=33296
kan de 	看的	c=3 d=1 t=10559
kan duo le 	看多了	c=2 d=1 t=21690
kan fa 	看法	c=1 d=1 t=27044
kan fang 	看房	c=5 d=1.19198 t=36412
kan ge 	看个	c=1 d=1 t=132
kan guo 	看过	c=4 d=1 t=30249
kan hua 	看花	c=1 d=1 t=3418
kan jian 	看见	c=12 d=1.00395 t=38737
kan kan 	看看	c=80 d=1.07966 t=41862
kan kan ni 	看看你	c=1 d=1 t=35698
kan lai 	看来	c=6 d=1.99501 t=38369
kan le 	看了	c=6 d=1 t=41565
kan le 	砍了	c=1 d=1 t=27957
kan le kan 	看了看	c=2 d=1 t=31074
kan le me 	看了么	c=4 d=1 t=40993
kan ni 	看你	c=2 d=1 t=31119
kan qun li 	看群里	c=1 d=1 t=10661
kan ren 	看人	c=1 d=1 t=12875
kan shang le 	看上了	c=2 d=1 t=30207
kan shang qu 	看上去	c=3 d=1.00541 t=26883
kan shei 	看谁	c=1 d=1 t=32937
kan shi 	看是	c=1 d=1 t=14230
kan wan le ma 	看完了嘛	c=1 d=1 t=25062
kan wo 	看我	c=1 d=1 t=11933
kan yang zi 	看样子	c=2 d=1 t=37788
kan yi xia 	看一下	c=5 d=1.00029 t=37071
kan yi xia 	砍一下	c=1 d=1 t=30484
kan zhe 	看着	c=10 d=1 t=38703
kan zhe dian 	看着点	c=1 d=1 t=10860
kan zhun 	看准	c=1 d=1 t=36424
kang bu zhu 	扛不住	c=2 d=1.06051 t=20024
kang yuan 	抗原	c=2 d=1.00956 t=17340
kao 	考	c=5 d=1 t=28099
kao 	靠	c=3 d=1 t=29188
kao chuan 	烤串	c=2 d=1.97045 t=27439
kao de 	靠的	c=1 d=1 t=40223
kao he 	考核	c=1 d=1 t=37465
kao hou 	靠后	c=1 d=1 t=26148
kao lv 	考虑	c=4 d=1 t=25743
kao pu 	靠谱	c=3 d=1 t=30751
kao qian 	靠前	c=1 d=1 t=26145
kao shang 	考上	c=1 d=1 t=3599
kao sheng 	考生	c=1 d=1 t=3345
kao shi 	考试	c=3 d=1 t=26167
ke 	可	c=5 d=1.0001 t=36711
ke ai 	可爱	c=2 d=1.5975 t=21315
ke bian cheng 	可编程	c=1 d=1 t=31844
ke cheng 	课程	c=1 d=1 t=9176
ke da ya 	可达鸭	c=1 d=1 t=38602
ke fu 	客服	c=4 d=1 t=30951
ke hao 	可好	c=1 d=1 t=28022
ke hu 	客户	c=9 d=1.0367 t=16848
ke hu duan 	客户端	c=5 d=1.66712 t=24010
ke huan 	科幻	c=1 d=1 t=25368
ke ji 	科技	c=4 d=1.88692 t=41906
ke le 	可乐	c=2 d=1 t=41727
ke lian 	可怜	c=3 d=1 t=32791
ke lian ren 	可怜人	c=1 d=1 t=25318
ke mu 	科目	c=3 d=2.06211 t=26579
ke ne ge 	可呢个	c=1 d=1 t=34265
ke neng 	可能	c=91 d=4.26079 t=40022
ke pa 	可怕	c=1 d=1 t=20040
ke pu 	科普	c=1 d=1 t=22054
ke shi 	可是	c=2 d=1.00475 t=1694
ke sou 	咳嗽	c=2 d=1.00002 t=5968
ke ting 	客厅	c=2 d=1.00019 t=23606
ke xi 	可惜	c=3 d=1 t=29542
ke xue 	科学	c=1 d=1 t=38330
ke xue shang wang 	科学上网	c=1 d=1 t=39373
ke yao 	嗑药	c=1 d=1 t=9591
ke yi 	可以	c=237 d=1.62519 t=42099
ke zhang 	科长	c=2 d=1.95123 t=15020
kei ye 	剋也	c=1 d=1 t=9200
ken de ji 	肯德基	c=1 d=1 t=2101
ken ding 	肯定	c=46 d=1.00002 t=40929
ken ding you 	肯定有	c=1 d=1 t=27996
keng 	坑	c=1 d=1 t=36304
kong 	孔	c=2 d=1 t=11104
kong 	空	c=3 d=1 t=38267
kong fu zi 	孔夫子	c=2 d=1.71177 t=27765
kong gang 	空港	c=1 d=1 t=30390
kong ge 	空格	c=4 d=1 t=23736
kong jian 	空间	c=4 d=1 t=38418
kong tiao 	空调	c=2 d=1 t=11314
kong zhe 	空着	c=2 d=1.00051 t=5111
kong zhi 	控制	c=27 d=1.14792 t=40504
kong zhi qi 	空置期	c=1 d=1 t=10311
kong zi 	孔子	c=1 d=1 t=5552
kou 	口	c=10 d=1.00009 t=33524
kou 	扣	c=3 d=1 t=36289
kou bei 	口碑	c=1 d=1 t=13200
kou le 	扣了	c=1 d=1 t=14367
kou xia 	扣下	c=2 d=1.70822 t=15163
ku 	哭	c=1 d=1 t=25666
ku 	库	c=8 d=1 t=40019
ku le 	哭了	c=1 d=1 t=38005
ku nan 	苦难	c=1 d=1 t=33148
kua yu 	跨域	c=6 d=1.04024 t=32096
kua zhang 	夸张	c=2 d=1.98511 t=10853
kuai 	块	c=3 d=1 t=37464
kuai 	快	c=14 d=0.100003 t=38640
kuai bu liao 	快不了	c=1 d=1 t=36120
kuai dao 	快到	c=3 d=1 t=24306
kuai dao le 	快到了	c=2 d=1.00118 t=6283
kuai di 	快递	c=6 d=1 t=41804
kuai di dai 	快递袋	c=1 d=1 t=20866
kuai dian 	快点	c=1 d=1 t=11536
kuai guo qu 	快过去	c=1 d=1 t=29044
kuai huai le 	快坏了	c=1 d=1 t=38641
kuai ji 	会计	c=1 d=1 t=21405
kuai ji zheng 	会计证	c=1 d=1 t=19113
kuai jie 	快捷	c=1 d=1 t=18076
kuai jie jian 	快捷键	c=1 d=1 t=35498
kuai le 	快了	c=2 d=1 t=28273
kuai qian 	块钱	c=7 d=1 t=36447
kuai su 	快速	c=1 d=1 t=41427
kuan 	宽	c=4 d=1 t=41398
kuan da 	宽大	c=1 d=1 t=34899
kuan dai 	宽带	c=3 d=2.05916 t=40868
kuan du 	宽度	c=6 d=3.63261 t=21754
kuang jia 	框架	c=2 d=1.9802 t=4740
kui 	亏	c=1 d=1 t=1579
kui le 	亏了	c=1 d=1 t=1583
kun 	困	c=3 d=1 t=41515
kun si 	困死	c=1 d=1 t=6913
kun si wo 	困死我	c=0 d=0.1 t=7202
kun si wo le 	困死我了	c=1 d=1 t=7203
kuo da 	扩大	c=1 d=1 t=33286
kuo hao 	括号	c=3 d=1.90937 t=26437
kuo jian 	扩建	c=1 d=1 t=11694
kuo rong 	扩容	c=6 d=1 t=39801
kuo zhan 	扩展	c=3 d=1 t=31863
kuo zhan wu 	扩展坞	c=2 d=1 t=37673
la 	拉	c=15 d=1.82696 t=33060
la 	落	c=1 d=1 t=199
la che 	拉车	c=1 d=1 t=38312
la dao 	拉到	c=1 d=1 t=20243
la ji 	垃圾	c=2 d=1 t=24097
la pan 	拉盘	c=1 d=1 t=7002
la sheng 	拉绳	c=1 d=1 t=11382
lai 	来	c=30 d=1.00015 t=40378
lai bu ji 	来不及	c=2 d=1.00002 t=9384
lai de 	来的	c=4 d=1 t=35839
lai de le 	来的了	c=1 d=1 t=6533
lai dian 	来电	c=1 d=1 t=40965
lai dou lai le 	来都来了	c=1 d=1 t=1791
lai guo ma 	来过吗	c=1 d=1 t=38357
lai hui 	来回	c=6 d=1 t=37286
lai kuai ba 	来快吧	c=1 d=1 t=22005
lai kuai qian 	来块钱	c=2 d=1 t=34227
lai le 	来了	c=10 d=1 t=35826
lai le ma 	来了吗	c=2 d=1 t=30943
lai ma 	来吗	c=3 d=1 t=30603
lai sui 	来岁	c=1 d=1 t=11572
lai yuan yu 	来源于	c=1 d=1 t=29959
lai zhe 	来着	c=6 d=1.00289 t=38049
lai zi 	来自	c=1 d=1 t=37419
lan 	蓝	c=0 d=0.1 t=6016
